"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"bateria magsafe apple original","-",4698,249,-15,,,,50,53,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe power bank magnetic","-",104,208,18,,,,197,2000,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 662 magnetic battery mag go","-",1832,218,-10,,,,57,119,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 321 mag go","-",333,48,-55,,,,14,144,1,0,0,0,0,0,0,0,0,"-","-",3
"anker wireless power bank magsafe","-",288,162,-27,,,,183,563,1,0,0,0,0,0,0,0,0,"-","-",3
"slim magnetic power bank, 10000mah wireless portable charger iphone",12,973,498,7,1.36,0.93,1.46,226,512,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo power bank 6.6k","-",871,216,20,1.13,0.75,1.23,125,248,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo magnetic qi2 wireless charger","-",295,92,-56,1.1,0.88,1.36,109,312,1,0,0,0,0,0,0,0,0,"-","-",3
"magsafe power bank ultra thin","-",281,173,8,1.09,0.92,1.59,179,616,1,0,0,0,0,0,0,0,0,"-","-",3
"esr qi2 magsafe battery pack","-",96,26,-37,,,,98,270,1,0,0,0,0,0,0,0,0,"-","-",3
"apple brand magsafe battery pack","-",2200,99,10,1.55,1.21,1.89,23,45,1,0,0,0,0,0,0,0,0,"-","-",3
"maggo magnetic iphone battery","-",608,248,25,1.53,1.15,1.76,127,408,1,0,0,0,0,0,0,0,0,"-","-",3
"anker powercore maggo 5k","-",1960,339,53,,,,62,173,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo 5k","-",1840,173,-16,1.03,0.97,1.8,37,94,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo 5k magnetic power bank","-",339,137,60,,,,31,404,1,0,0,0,0,0,0,0,0,"-","-",3
"anker qi2 maggo power bank (6.6k)","-",285,92,1,,,,72,323,1,0,0,0,0,0,0,0,0,"-","-",3
"anker maggo magnetic power banks","-",393,153,-21,,,,105,389,1,0,0,0,0,0,0,0,0,"-","-",3
"anker 621 magsafe charger","-",605,193,-6,,,,78,319,1,0,0,0,0,0,0,0,0,"-","-",3
"anker powercore slim 10000",6,2275,430,-2,1.16,0.9,1.6,174,189,1,0,0,0,0,0,0,0,0,"-","-",4
"apple external battery","-",68,205,-26,1.51,1.17,2,234,3000,1,0,0,0,0,0,0,0,0,"-","-",4
"anker power bank white","-",1413,318,32,1.13,0.8,1.7,186,225,1,0,0,0,0,0,0,0,0,"-","-",4
"zagg power bank portable charger","-",487,163,4,,,,58,335,1,0,0,0,0,0,0,0,0,"-","-",4
"anker magsafe battery pack",14,1893,937,21,1.42,0.88,1.63,188,495,1,0,1,0,0,0,0,0,0,44,"-",4
"magsafe battery pack anker",16,1027,500,-16,1.4,0.93,1.83,207,487,1,0,0,0,0,0,0,0,0,"-","-",4
"apple battery magsafe","-",23,90,-51,,,,97,4000,1,0,0,0,0,0,0,0,0,"-","-",4
"anker magnetic battery pack","-",87,63,41,1.44,1.08,1.78,51,724,1,0,1,0,0,0,0,0,0,231,"-",4
"otterbox magsafe power bank","-",467,155,-29,1.57,0.99,2.04,206,332,1,0,0,0,0,0,0,0,0,"-","-",4
"magsafe iphone battery pack","-",28,111,-21,,,,114,4000,1,0,0,0,0,1,0,0,0,"-","-",4
"anker portable charger 10000mah","-",246,200,31,,,,136,813,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 621",35,10206,1582,59,1.35,0.91,1.43,134,155,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 621 magnetic battery","-",1528,327,-6,2.07,1,2.22,134,214,1,0,0,0,0,0,0,0,0,"-","-",4
"magsafe power bank slim",4,792,480,-20,1.61,0.95,1.67,300,606,1,0,1,0,0,0,0,0,0,33,"-",4
"magsafe portable charger slim",40,1970,1635,7,1.25,0.97,1.55,457,830,1,0,0,0,0,0,0,0,0,"-","-",4
"magsafe powerbank slim","-",625,335,10,,,,256,536,1,0,0,0,0,0,0,0,0,"-","-",4
"magsafe battery pack 15w","-",36,30,-14,,,,161,840,1,0,1,0,0,0,0,0,0,174,"-",4
"anker 621 maggo","-",729,129,-47,,,,67,177,1,0,0,0,0,0,0,0,0,"-","-",4
"anker 621 magnetic battery (maggo)","-",1188,285,24,,,,63,240,1,0,0,0,0,0,0,0,0,"-","-",4
