"Keyword Phrase","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","Competing Products","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"portable iphone charger usb c","-",16,145,7,,,,82,9000,1,0,0,0,0,0,0,0,0,"-","-",253
"strongest magsafe charger","-",21,208,-18,,,,354,10000,1,0,0,0,0,0,0,0,0,"-","-",253
"qi wireless charger pad","-",93,185,80,1.34,1.08,1.9,239,2000,1,0,0,0,0,0,0,0,0,"-","-",254
"wireless phone charger iphone",523,265,10593,1,1.2,0.81,2.13,628,40000,1,0,0,0,0,0,0,0,0,"-","-",254
"charger portable",128,45,3566,28,1.35,1.06,1.95,737,80000,1,0,0,0,0,1,0,0,0,"-","-",254
"charger phone battery","-","-",0,"-",,,,202,100000,1,0,0,0,0,0,0,0,0,"-","-",254
"magnetic wire charger","-","-",0,"-",,,,175,20000,1,0,0,0,0,0,0,0,0,"-","-",254
"usb c charger stand","-",50,198,-9,,,,320,4000,1,0,0,0,0,0,0,0,0,"-","-",254
"mag",12,162,4846,-13,2.02,1.5,2.79,481,30000,1,0,0,0,0,0,0,0,0,"-","-",254
"battery charger for cell phone",13,22,436,161,1.38,1.23,1.64,225,20000,1,0,0,0,0,0,0,0,0,"-","-",254
"battery cell phone charger portable",8,40,397,18,,,,337,10000,1,0,0,0,0,0,0,0,0,"-","-",254
"google charger 30w","-",248,200,-9,1.18,0.84,1.49,192,806,1,0,0,0,0,0,0,0,0,"-","-",254
"magsafe stand wireless charger","-",3,145,-20,,,,220,50000,1,0,0,0,0,0,0,0,0,"-","-",254
"portable charger phone",10,15,439,36,1.45,1.29,1.72,325,30000,1,0,0,0,0,0,0,0,0,"-","-",255
"portible charger case","-","-",0,"-",,,,202,20000,1,0,0,0,0,0,0,0,0,"-","-",255
"portable charger phone case","-",22,219,-13,1.18,0.91,1.24,315,10000,1,0,0,0,0,0,0,0,0,"-","-",255
"portable charger with cable","-",4,216,-9,1.45,1.27,1.69,349,50000,1,0,0,0,0,0,0,0,0,"-","-",255
"batteries phone","-","-",0,"-",,,,269,90000,1,0,0,0,0,0,0,0,0,"-","-",255
"usb c magnetic charging cable",6,221,1328,-3,1.21,0.89,1.48,629,6000,1,0,0,0,0,0,0,0,0,"-","-",255
"smallest phone",2,9,939,-10,1.12,0.81,1.28,386,100000,1,0,0,0,0,0,0,0,0,"-","-",255
"travel phone charger",58,61,1822,10,1.53,1.04,1.99,665,30000,1,0,0,0,0,0,0,0,0,"-","-",255
"samsung wirles charger","-",14,278,-6,,,,356,20000,1,0,0,0,0,0,0,0,0,"-","-",255
"fast charging power bank usb c","-",32,289,38,,,,182,9000,1,0,0,0,0,0,0,0,0,"-","-",255
"cell phne battery charger","-",17,343,42,,,,238,20000,1,0,0,0,0,0,0,0,0,"-","-",255
"iphone+15+pro",1,11,553,18,1.56,1.13,1.87,275,50000,1,0,0,0,0,0,0,0,0,"-","-",255
"magnetic iphone charging cable",7,43,303,45,1.18,0.89,1.43,273,7000,1,0,0,0,0,0,0,0,0,"-","-",256
"iphone cable battery","-","-",0,"-",,,,140,10000,1,0,0,0,0,0,0,0,0,"-","-",256
"portble charger","-",1,84,-64,,,,218,70000,1,0,0,0,0,0,0,0,0,"-","-",256
"usb-c charger anker",7,126,379,"-",,,,279,3000,1,0,0,0,0,0,0,0,0,"-","-",256
"apple magsafe stand",4,19,386,-14,1.28,0.8,1.33,275,20000,1,0,0,0,0,0,0,0,0,"-","-",256
"iphone 14 phone",5,20,1423,8,0.83,0.59,1.32,691,70000,1,0,0,0,0,0,0,0,0,"-","-",256
"magnetic phone charger stand",23,74,736,10,1.17,0.87,1.78,289,10000,1,0,0,0,0,0,0,0,0,"-","-",256
"iphone 15 wireless charger fast charging",17,43,430,-3,1.13,0.67,1.58,352,10000,1,0,0,0,0,0,0,0,0,"-","-",256
"iphone chargers portable","-",8,245,27,,,,212,30000,1,0,0,0,0,0,0,0,0,"-","-",257
"wireless android charger",47,120,1204,6,1.37,0.9,2.05,640,10000,1,0,0,0,0,0,0,0,0,"-","-",257
"portable chargers usb c","-",26,262,-6,,,,223,10000,1,0,0,0,0,0,0,0,0,"-","-",257
"fast charging magnetic cable","-",12,122,-40,0.94,0.78,1.18,237,10000,1,0,0,0,0,0,0,0,0,"-","-",257
"wireless charger iphone x",5,36,364,52,2.2,1.56,2.72,346,10000,1,0,0,0,0,0,0,0,0,"-","-",257
"witeless phone charger",2,3,271,41,,,,269,80000,1,0,0,0,0,0,0,0,0,"-","-",257
"android charging stand","-",46,324,5,,,,394,7000,1,0,0,0,0,0,0,0,0,"-","-",257
"wireless phone charger iphone 13","-",2,69,50,,,,187,30000,1,0,0,0,0,0,0,0,0,"-","-",257
"iphone 30w fast charger","-",74,147,-23,1.13,0.81,1.39,223,2000,1,0,0,0,0,0,0,0,0,"-","-",257
"travel phone charger battery pack portable",9,52,366,6,,,,292,7000,1,0,0,0,0,0,0,0,0,"-","-",257
"iphone 16 travel charger",10,78,390,-2,,,,368,5000,1,0,0,0,0,0,0,0,0,"-","-",257
"apple iphone charger case","-","-",0,"-",,,,197,30000,1,0,0,0,0,0,0,0,0,"-","-",258
"power bank ipad","-",63,316,9,1.37,0.99,1.67,297,5000,1,0,0,0,0,0,0,0,0,"-","-",258
"portable stand for iphone","-",6,125,-31,,,,244,20000,1,0,0,0,0,0,0,0,0,"-","-",258
"iphone small","-",2,241,11,,,,278,100000,1,0,0,0,0,0,0,0,0,"-","-",258
"wilress charger","-",2,155,-26,,,,399,100000,1,0,0,0,0,0,0,0,0,"-","-",258
"iphone batery","-","-",0,"-",,,,225,20000,1,0,0,0,0,0,0,0,0,"-","-",258
"magsafe 3 charger iphone 14","-",82,247,64,1.32,1.09,1.87,180,3000,1,0,0,0,0,0,0,0,0,"-","-",258
"apple home pods","-",566,297,-8,0.83,0.72,1.2,175,525,1,0,0,0,0,0,0,0,0,"-","-",258
"phone charger magsafe",3,15,456,2,1.06,0.74,1.31,297,30000,1,0,0,0,0,0,0,0,0,"-","-",258
"best phone charger portable","-",1,64,-24,1.04,0.74,1.26,120,100000,1,0,0,0,0,0,0,0,0,"-","-",259
"cell phone battery charger portable",161,319,3191,27,1.43,1.06,2.02,616,10000,1,0,0,0,0,0,0,0,0,"-","-",259
"smallest power bank",12,74,736,32,1.3,0.91,1.48,361,10000,1,0,0,0,0,0,0,0,0,"-","-",259
"iphone x wireless charger pad 2 pack","-",20,40,104,,,,168,2000,1,0,0,0,0,0,0,0,0,"-","-",259
"iphone 13 charger stand","-",17,87,-31,,,,221,5000,1,0,0,0,0,0,0,0,0,"-","-",259
"iphone charger 15",24,70,1408,-1,1.99,1.33,2.12,595,20000,1,0,0,0,0,0,0,0,0,"-","-",259
"cell phone battery charger portable iphone","-",46,275,1,,,,293,6000,1,0,0,0,0,0,0,0,0,"-","-",259
"good portable charger long lasting","-",5,54,-10,,,,98,10000,1,0,0,0,0,0,0,0,0,"-","-",259
"portable charger for ipad",19,87,871,5,1.26,0.92,1.74,396,10000,1,0,0,0,0,0,0,0,0,"-","-",260
"quick charge power bank",8,75,450,17,1.34,1.16,1.53,304,6000,1,0,0,0,0,0,0,0,0,"-","-",260
"portable charger long lasting battery",20,74,736,30,1.42,1,1.96,348,10000,1,0,0,0,0,0,0,0,0,"-","-",260
"qi battery case iphone","-","-",0,"-",,,,135,1000,1,0,0,0,0,0,0,0,0,"-","-",260
"android battery pack","-",9,274,-14,,,,324,30000,1,0,0,0,0,0,0,0,0,"-","-",260
"phone charger iphone portable","-","-",0,"-",,,,186,30000,1,0,0,0,0,0,0,0,0,"-","-",260
"iphone fast wireless charger",4,25,249,-15,2.17,1.52,2.71,290,10000,1,0,0,0,0,0,0,0,0,"-","-",260
"stand for magsafe charger",9,46,461,-2,1.4,0.78,1.84,247,10000,1,0,0,0,0,0,0,0,0,"-","-",260
"wireless charger iphone 13 pro max","-",24,240,-15,2.29,1.74,3.14,378,10000,1,0,0,0,0,0,0,0,0,"-","-",260
"15 pro max phone","-",12,472,2,1.54,1.26,1.83,288,40000,1,0,0,0,0,0,0,0,0,"-","-",260
"mag charger iphone 16 pro","-",73,291,-1,,,,344,4000,1,0,0,0,0,0,0,0,0,"-","-",260
"power banks fast charging usb c","-",19,131,56,,,,109,7000,1,0,0,0,0,0,0,0,0,"-","-",260
"iphone magnetic charger apple","-",2,77,-56,,,,147,50000,1,0,0,0,0,0,0,0,0,"-","-",260
"usb a portable charger","-",4,119,-40,,,,293,30000,1,0,0,0,0,0,0,0,0,"-","-",260
"usb battery bank",21,25,502,-15,1.49,0.99,1.69,337,20000,1,0,0,0,0,0,0,0,0,"-","-",261
"phone charging banks","-",16,160,-11,,,,317,10000,1,0,0,0,0,0,0,0,0,"-","-",261
"iphone wireless charging battery case","-","-",0,"-",,,,165,10000,1,0,0,0,0,0,0,0,0,"-","-",261
"battery pack for ipad",17,47,469,20,0.86,0.65,1.1,339,10000,1,0,0,0,0,0,0,0,0,"-","-",261
"super fast wireless charger",29,120,1204,31,1.35,0.79,1.88,349,10000,1,0,0,0,0,0,0,0,0,"-","-",261
"small phones",1,5,502,2,1.19,0.92,1.46,457,100000,1,0,0,0,0,0,0,0,0,"-","-",261
"cool chargers","-",5,218,8,,,,232,40000,1,0,0,0,0,0,0,0,0,"-","-",261
"wireless charger for iphone 11",39,37,736,-3,1.36,0.83,1.8,348,20000,1,0,0,0,0,0,0,0,0,"-","-",261
"wireless iphone 12 charger","-",32,317,-7,1.92,1.5,2.52,325,10000,1,0,0,0,0,0,0,0,0,"-","-",261
"iphone 12 wireless charging","-",1,16,6,,,,147,20000,1,0,0,0,0,0,0,0,0,"-","-",261
"iphone 15 phone",5,44,3078,45,0.93,0.72,1.71,629,70000,1,0,0,0,0,0,0,0,0,"-","-",261
"wireless charger for iphone 15 pro","-",20,203,-30,1.07,0.82,1.31,368,10000,1,0,0,0,0,0,0,0,0,"-","-",261
"iphone 16 pro charger portable","-",15,61,-57,,,,139,4000,1,0,0,0,0,0,0,0,0,"-","-",261
"wireless charger 2 pack",12,6,432,2,1.31,0.99,1.76,323,70000,1,0,0,0,0,0,0,0,0,"-","-",262
"portsble charger",12,6,474,6,1.27,1.02,1.78,318,80000,1,0,0,0,0,0,0,0,0,"-","-",262
"best wireless chargers for iphone","-",3,263,-24,1.7,1.31,2.19,190,100000,1,0,0,0,0,0,0,0,0,"-","-",262
"portable charger small iphone","-",6,194,-13,,,,235,30000,1,0,0,0,0,0,0,0,0,"-","-",262
"wireless charger'","-",2,225,16,,,,228,100000,1,0,0,0,0,0,0,0,0,"-","-",262
"wireless charger magsafe charger","-",14,287,46,,,,176,20000,1,0,0,0,0,0,0,0,0,"-","-",262
"prime day gadgets","-",6,51,-38,,,,85,9000,1,0,0,0,0,0,0,0,0,"-","-",262
"mag safe charger iphone",5,41,406,4,1.33,0.98,1.46,286,10000,1,0,0,0,0,0,0,0,0,"-","-",262
"cargador anker carga rapida","-",38,76,11,1.84,1.48,2.16,72,2000,1,0,0,0,0,0,0,0,0,"-","-",262
"wireless iphone 16 pro max charger",13,48,386,38,,,,321,8000,1,0,0,0,0,0,0,0,0,"-","-",262
"iphone 16 pro charger wireless","-",34,335,18,,,,318,10000,1,0,0,0,0,0,0,0,0,"-","-",262
"iphone 16 pro max portable charger fast charging",6,206,412,-7,,,,289,2000,1,0,0,0,0,0,0,0,0,"-","-",262
"power bank portable charger",16,87,871,6,1.43,1.03,1.77,412,10000,1,0,0,0,0,0,0,0,0,"-","-",263
"phone charger magnetic",29,37,736,3,1.21,0.94,1.87,407,20000,1,0,0,0,0,0,0,0,0,"-","-",263
"iphone portable battery",8,39,390,4,1.31,1.24,1.97,263,10000,1,0,0,0,0,0,0,0,0,"-","-",263
"simple cell phone",1,5,394,100,1.46,0.94,1.71,321,80000,1,0,0,0,0,0,0,0,0,"-","-",263
"tall safe",1,7,737,7,0.81,0.54,1.28,261,100000,1,0,0,0,0,0,0,0,0,"-","-",263
"phone charger stand samsung","-",51,255,-12,,,,335,5000,1,0,0,0,0,0,0,0,0,"-","-",263
"iphone 13 phone",7,27,1886,21,0.91,0.61,1.61,565,70000,1,0,0,0,0,0,0,0,0,"-","-",263
"portable iphone 13 charger for travel","-",81,324,16,,,,321,4000,1,0,0,0,0,0,0,0,0,"-","-",263
"snap and charge portable charger","-",288,288,-27,1.64,1.1,1.93,204,1000,1,0,0,0,0,0,0,0,0,"-","-",263
"best portable apple charger","-",4,121,29,1.49,1.22,1.63,117,30000,1,0,0,0,0,0,0,0,0,"-","-",263
"wireless charger fast charging stands",6,61,364,-7,,,,250,6000,1,0,0,0,0,0,0,0,0,"-","-",263
"charger iphone wireless","-",7,270,2,,,,411,40000,1,0,0,0,0,0,0,0,0,"-","-",264
"small phone charger portable",23,18,553,20,1.45,1.21,1.71,316,30000,1,0,0,0,0,0,0,0,0,"-","-",264
"usbc anker",21,121,485,-1,1.78,1.39,2.12,266,4000,1,0,0,0,0,0,0,0,0,"-","-",264
"magnetic fast charging cable","-",18,179,-42,1.08,1.04,1.39,378,10000,1,0,0,0,0,0,0,0,0,"-","-",264
"wireless i phone charger",9,9,357,-10,,,,396,40000,1,0,0,0,0,0,0,0,0,"-","-",264
"battery back pack","-",3,202,-12,,,,75,80000,1,0,0,0,0,0,0,0,0,"-","-",264
"iphone 12 accessories",19,27,1332,1,1.09,0.83,1.52,831,50000,1,0,0,0,0,0,0,0,0,"-","-",264
"portable iphone charger for travel",64,178,1423,24,1.47,1.17,2.13,535,8000,1,0,0,0,0,1,0,0,0,"-","-",264
"magsafe 3 charger stand iphone 15","-",37,74,-1,1.66,1.14,2.27,168,2000,1,0,0,0,0,0,0,0,0,"-","-",264
"battery pack for phones","-",3,254,18,,,,276,90000,1,0,0,0,0,0,0,0,0,"-","-",264
"charger portable charger","-",1,57,-1,,,,190,100000,1,0,0,0,0,0,0,0,0,"-","-",265
"magnetic charging cable iphone",1,37,257,-21,0.85,0.69,1.1,386,7000,1,0,0,0,0,0,0,0,0,"-","-",265
"compact iphone charger","-",30,303,2,0.97,0.75,1.24,272,10000,1,0,0,0,0,0,0,0,0,"-","-",265
"usbc charger anker",48,266,798,-2,2.17,1.32,2.27,302,3000,1,0,0,0,0,0,0,0,0,"-","-",265
"battery chager","-",1,142,6,,,,95,100000,1,0,0,0,0,0,0,0,0,"-","-",265
"wiresless charger","-",3,284,20,,,,331,100000,1,0,0,0,0,0,0,0,0,"-","-",265
"magnetic c phone charger","-",7,29,33,,,,237,4000,1,0,0,0,0,0,0,0,0,"-","-",265
"airpods magsafe charger","-",105,209,18,,,,194,2000,1,0,0,0,0,0,0,0,0,"-","-",265
"portable charger for iphone 16 plus",3,197,394,15,,,,311,2000,1,0,0,0,0,1,0,0,0,"-","-",265
"wireless charger fast",9,10,405,"-",1.2,0.97,1.37,379,40000,1,0,0,0,0,0,0,0,0,"-","-",266
"certified iphone charger",8,47,419,55,1.72,1.32,1.8,365,9000,1,0,0,0,0,0,0,0,0,"-","-",266
"best portable phone charger iphone","-",10,298,10,1.56,1.1,1.86,286,30000,1,0,0,0,0,0,0,0,0,"-","-",266
"pd power bank",3,221,664,"-",1.2,0.82,1.6,357,3000,1,0,0,0,0,0,0,0,0,"-","-",266
"anker charger cable usb c","-",96,288,-38,1.2,0.9,1.32,215,3000,1,0,0,0,0,0,0,0,0,"-","-",266
"battery phone case","-",13,403,11,0.91,0.6,1.16,375,30000,1,0,0,0,0,0,0,0,0,"-","-",266
"portable chrger","-",4,310,-6,1.52,1.24,1.73,317,70000,1,0,0,0,0,0,0,0,0,"-","-",266
"wireless charger stand iphone",24,65,648,16,1.31,0.97,1.84,300,10000,1,0,0,0,0,0,0,0,0,"-","-",266
"apple phone magnetic charger","-",18,183,-8,,,,310,10000,1,0,0,0,0,0,0,0,0,"-","-",266
"apple magnetic charger iphone","-",4,205,-13,,,,275,50000,1,0,0,0,0,0,0,0,0,"-","-",266
"iphone 13 pro fast charger",16,40,401,-15,1.54,1.19,1.87,409,10000,1,0,0,0,0,0,0,0,0,"-","-",266
"usb a power bank","-",8,252,-15,,,,331,30000,1,0,0,0,0,0,0,0,0,"-","-",266
"magnetic phone charging stand","-",17,336,14,,,,240,20000,1,0,0,0,0,0,0,0,0,"-","-",266
15,1,20,1633,17,0.91,0.62,1.45,671,80000,1,0,0,0,0,0,0,0,0,"-","-",267
"charging stand for samsung","-",21,213,-19,,,,342,10000,1,0,0,0,0,0,0,0,0,"-","-",267
"iphone magnet",41,24,1200,13,0.93,0.86,1,575,50000,1,0,0,0,0,0,0,0,0,"-","-",267
"cell phone charging bank","-",19,191,-28,,,,303,10000,1,0,0,0,0,0,0,0,0,"-","-",267
"30w iphone charger",10,228,456,1,1.45,1.04,1.98,309,2000,1,0,0,0,0,0,0,0,0,"-","-",267
"portable power phone charger","-",0,20,-42,1.21,1,1.4,88,100000,1,0,0,0,0,0,0,0,0,"-","-",267
"phone safe",10,7,664,-3,1.16,0.77,1.21,212,100000,1,0,0,0,0,0,0,0,0,"-","-",267
"protable charger",13,7,500,4,1.3,0.97,1.81,365,70000,1,0,0,0,0,0,0,0,0,"-","-",267
"small usb c power bank","-",18,177,-14,,,,297,10000,1,0,0,0,0,0,0,0,0,"-","-",267
"phones with wireless charging","-",2,162,-13,0.66,0.61,0.99,176,100000,1,0,0,0,0,0,0,0,0,"-","-",267
"samsung iphone x charger","-",27,162,34,,,,88,6000,1,0,0,0,0,0,0,0,0,"-","-",267
"fast charger for iphone 15",32,49,491,5,1.93,1.32,2.04,381,10000,1,0,0,0,0,0,0,0,0,"-","-",267
"iphone charger back of phone",13,39,390,-1,,,,212,10000,1,0,0,0,0,0,0,0,0,"-","-",267
"wireless charger iphone 16 pro max",19,74,589,3,1.24,0.85,2.07,322,8000,1,0,0,0,0,0,0,0,0,"-","-",267
"portable android phone charger",7,53,374,-26,1.41,1.11,1.94,342,7000,1,0,0,0,0,0,0,0,0,"-","-",268
"apple iphone charger wireless","-",9,354,32,,,,323,40000,1,0,0,0,0,0,0,0,0,"-","-",268
"celular charger portable","-",7,139,-27,,,,190,20000,1,0,0,0,0,0,0,0,0,"-","-",268
"portable phone charger compact","-",38,229,29,,,,176,6000,1,0,0,0,0,0,0,0,0,"-","-",268
"cargadores qi","-",26,208,-3,,,,296,8000,1,0,0,0,0,0,0,0,0,"-","-",268
"portable a/c",1,15,736,24,0.7,0.62,1.12,350,50000,1,0,0,0,0,0,0,0,0,"-","-",268
"apple mag safe accesories for iphone 12","-",35,282,10,,,,266,8000,1,0,0,0,0,0,0,0,0,"-","-",268
"iphone 15 amazon","-",3,303,-17,,,,151,100000,1,0,0,0,0,0,0,0,0,"-","-",268
"official iphone charger","-",247,247,25,,,,234,1000,1,0,0,0,0,0,0,0,0,"-","-",269
"qi phone charger","-","-",0,"-",,,,175,8000,1,0,0,0,0,0,0,0,0,"-","-",269
"home battery charger","-",6,189,-28,,,,228,30000,1,0,0,0,0,0,0,0,0,"-","-",269
"battery charger laptop","-",10,209,76,,,,142,20000,1,0,0,0,0,0,0,0,0,"-","-",269
"portablw charger","-",4,308,39,,,,326,70000,1,1,0,0,0,0,0,0,0,"-",37,269
"portable phone charger iphone 11",15,99,394,17,1.14,0.95,1.34,312,4000,1,0,0,0,0,0,0,0,0,"-","-",269
"android charger portable","-",7,55,4,1.23,0.93,1.47,169,8000,1,0,0,0,0,0,0,0,0,"-","-",270
"samsung fast charger wireless",4,42,416,-3,1.03,0.71,1.39,299,10000,1,0,0,0,0,0,0,0,0,"-","-",270
"magnet iphone",8,8,388,28,,,,325,50000,1,0,0,0,0,0,0,0,0,"-","-",270
"charger card",1,332,664,7,1.33,0.89,1.62,175,2000,1,0,0,0,0,0,0,0,0,"-","-",270
"2 pack portable charger",12,9,474,4,1.32,1.02,1.71,358,50000,1,0,0,0,0,0,0,0,0,"-","-",270
"iphone 10 wireless charger","-",32,316,37,2.05,1.57,2.45,317,10000,1,0,0,0,0,0,0,0,0,"-","-",270
"iphone wireless charger fast charging",441,835,8353,8,1.21,0.8,2.22,649,10000,1,0,0,0,0,0,0,0,0,"-","-",270
"samsung fast charger wireless qi charging pad","-",273,273,-3,,,,269,1000,1,0,0,0,0,0,0,0,0,"-","-",270
"iphone 12 phone",1,16,939,-2,0.97,0.84,1.35,281,60000,1,0,0,0,0,0,0,0,0,"-","-",270
"portable phone charger with case","-","-",0,"-",,,,165,10000,1,0,0,0,0,0,0,0,0,"-","-",271
"small phone",2,34,3396,6,1.09,0.73,1.46,877,100000,1,0,0,0,0,0,0,0,0,"-","-",271
"cell battery pack","-",2,159,-12,,,,237,100000,1,0,0,0,0,0,0,0,0,"-","-",271
"anker port","-",89,268,-18,,,,194,3000,1,0,0,0,0,0,0,0,0,"-","-",271
"apple magnetic charger",32,80,798,6,1.53,1.02,1.86,353,10000,1,0,0,0,0,0,0,0,0,"-","-",271
"prime day deals electronics","-",3,188,4,1.32,0.9,1.55,244,60000,1,0,0,0,0,0,0,0,0,"-","-",271
"iphone cordless charger fast charging","-",3,27,"-",,,,218,10000,1,0,0,0,0,0,0,0,0,"-","-",271
"iphone charger fast charging stand",16,121,483,1,1.44,1.13,1.88,337,4000,1,0,0,0,0,0,0,0,0,"-","-",271
"iphone 12￼",1,6,417,-2,,,,284,70000,1,0,0,0,0,0,0,0,0,"-","-",271
"iphone 16 pro wireless charger",65,125,1251,11,1.38,0.85,1.92,600,10000,1,0,0,0,0,0,0,0,0,"-","-",271
"ipad portable charger",34,94,937,1,1.31,0.94,1.7,350,10000,1,0,0,0,0,0,0,0,0,"-","-",272
"phone charger portable for iphone","-","-",0,"-",,,,265,30000,1,0,0,0,0,0,0,0,0,"-","-",272
"samsung quick charger portable","-",62,309,14,,,,185,5000,1,0,0,0,0,0,0,0,0,"-","-",272
"extended phone charger iphone","-",10,61,-21,,,,150,6000,1,0,0,0,0,0,0,0,0,"-","-",272
"medium safe",1,5,472,"-",0.86,0.64,1.13,234,100000,1,0,0,0,0,0,0,0,0,"-","-",272
"ugreen",148,24744,24447,6,0.92,0.57,1.36,549,988,1,0,0,0,0,0,0,0,0,"-","-",272
"iphone extended battery case","-","-",0,"-",,,,177,1000,1,0,0,0,0,0,0,0,0,"-","-",272
"phone charger battery android","-",8,66,-21,,,,124,8000,1,0,0,0,0,0,0,0,0,"-","-",272
"i phone 15 pro",17,38,1891,13,1.21,0.79,1.55,468,50000,1,0,0,0,0,0,0,0,0,"-","-",272
"portable charger for samsung phones","-",17,345,36,,,,261,20000,1,0,0,0,0,0,0,0,0,"-","-",273
"phone charger battery",17,17,502,-5,1.38,1.06,1.76,345,30000,1,0,0,0,0,0,0,0,0,"-","-",273
"anker quick charger","-",221,221,-9,,,,319,1000,1,0,0,0,0,0,0,0,0,"-","-",273
"fast charging wireless charger iphone",2,39,390,"-",,,,280,10000,1,0,0,0,0,0,0,0,0,"-","-",273
"iphone wireless charger fast","-",14,136,12,,,,106,10000,1,0,0,0,0,0,0,0,0,"-","-",273
"magnetic apple charger",10,40,401,-7,1.14,0.9,1.78,361,10000,1,0,0,0,0,0,0,0,0,"-","-",273
"power phone charger for iphone","-",7,202,9,,,,257,30000,1,0,0,0,0,0,0,0,0,"-","-",273
"best safe","-",1,96,-47,,,,212,100000,1,0,0,0,0,0,0,0,0,"-","-",273
"power a accessories","-",3,332,8,,,,318,100000,1,0,0,0,0,0,0,0,0,"-","-",273
"android powerbank","-","-",0,"-",,,,214,1000,1,0,0,0,0,0,0,0,0,"-","-",273
"wireless charging stand android","-",70,279,1,1.37,0.94,1.73,333,4000,1,0,0,0,0,0,0,0,0,"-","-",273
"chordless iphone charger","-",14,141,-41,,,,255,10000,1,0,0,0,0,0,0,0,0,"-","-",273
"portable charger android usb c","-",15,91,-19,1.26,1.23,1.63,107,6000,1,0,0,0,0,0,0,0,0,"-","-",273
"wireless charger for iphone 15 pro max","-",15,146,15,1.3,1.01,1.64,184,10000,1,0,0,0,0,0,0,0,0,"-","-",273
"iphone 15 pro max chargers fast charging","-",25,251,-3,,,,241,10000,1,0,0,0,0,0,0,0,0,"-","-",273
"battery charger pack portable","-",2,73,-25,,,,118,40000,1,0,0,0,0,0,0,0,0,"-","-",273
"portable charger thin","-",5,330,39,,,,321,70000,1,0,0,0,0,0,0,0,0,"-","-",274
"best portable charger android","-",3,54,-15,,,,126,20000,1,0,0,0,0,0,0,0,0,"-","-",274
"apple iphone accessories",10,5,489,-3,1.34,1.07,1.72,428,100000,1,0,0,0,0,0,0,0,0,"-","-",274
"usb c anker",78,353,1410,-3,1.6,1.16,2.25,600,4000,1,0,0,0,0,0,0,0,0,"-","-",274
"triple charger",24,50,496,"-",1.56,1.22,1.9,270,10000,1,0,0,0,0,0,0,0,0,"-","-",274
"portable phone batteries","-","-",0,"-",,,,188,30000,1,0,0,0,0,0,0,0,0,"-","-",274
"ios wireless charger","-",17,151,-20,,,,364,9000,1,0,0,0,0,0,0,0,0,"-","-",274
"cargador de bateria portatil","-",27,267,-2,,,,315,10000,1,0,0,0,0,0,0,0,0,"-","-",274
"iphone 13 fast charger",154,222,2217,8,2.05,1.56,2.37,662,10000,1,0,0,0,0,0,0,0,0,"-","-",274
"iphone fourteen","-",5,250,24,0.7,0.57,0.98,173,50000,1,0,0,0,0,0,0,0,0,"-","-",274
"android magsafe","-",18,54,-59,,,,134,3000,1,0,0,0,0,0,0,0,0,"-","-",274
"iphone fast charger 15","-",14,274,1,1.22,1.13,1.47,288,20000,1,0,0,0,0,0,0,0,0,"-","-",274
"wireless iphone 16 pro charger","-",21,207,-3,,,,126,10000,1,0,0,0,0,0,0,0,0,"-","-",274
"power bank with cable",3,19,383,16,1.45,1.19,1.67,361,20000,1,0,0,0,0,0,0,0,0,"-","-",275
"small portable charger",172,73,5834,20,1.38,0.91,1.85,665,80000,1,0,0,0,0,0,0,0,0,"-","-",275
"portable power bank for android","-",135,269,53,1.09,0.82,1.36,331,2000,1,0,0,0,0,0,0,0,0,"-","-",275
"20000 mah portable charger","-",314,314,25,1.43,0.95,1.7,211,1000,1,0,0,0,0,0,0,0,0,"-","-",275
"laptop battery charger",2,38,377,"-",,,,338,10000,1,0,0,0,0,0,0,0,0,"-","-",275
"accessories cell phone","-",3,266,-13,,,,307,100000,1,0,0,0,0,0,0,0,0,"-","-",275
"charger with magnet","-",2,187,-38,,,,243,100000,1,0,0,0,0,0,0,0,0,"-","-",275
"ipad wireless charger",15,190,1904,-3,1.35,0.85,1.59,826,10000,1,0,0,0,0,0,0,0,0,"-","-",275
"iphone wireless charging belkin","-",547,323,"-",,,,223,591,1,0,0,0,0,0,0,0,0,"-","-",275
"qireless charger iphone","-",5,181,-20,,,,329,40000,1,0,0,0,0,0,0,0,0,"-","-",275
"charger for iphone 15",274,188,3758,-13,1.88,1.5,2.2,552,20000,1,0,0,0,0,0,0,0,0,"-","-",275
"travel battery pack iphone","-",21,188,-31,1.3,1.07,1.53,285,9000,1,0,0,0,0,0,0,0,0,"-","-",275
"portable iphone 11 charger for travel","-",64,127,-48,,,,285,2000,1,0,0,0,0,0,0,0,0,"-","-",275
"cool iphone gadgets","-",89,266,-12,0.98,0.7,1.29,418,3000,1,0,0,0,0,0,0,0,0,"-","-",276
"anker pd charger",10,736,736,3,2.29,1.32,2.55,284,1000,1,0,0,0,0,0,0,0,0,"-","-",276
"anker ipad pro charger","-",202,202,19,1.56,1.46,1.65,151,1000,1,0,0,0,0,0,0,0,0,"-","-",276
