"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@ByValentineLewis","true","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG8NBgHAVYm","Thank you so much!💜","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG8NCNIGKbV","Enjoy it! Have fun!🙌💫⛄","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG8NDB2v7Av","Yes! Absolutely! 💜","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@ByValentineLewis","true","Ugw6MZD7giKhe3LSmXp4AaABAg.AG3Rjv-5-YsAG8NESGbuhz","😊💜🐙","56","false","https://www.youtube.com/watch?v=5rTG5f_yogU","3 days ago","0","Ugw6MZD7giKhe3LSmXp4AaABAg","eufy Robot Vacuum Omni C20, Robot Vacuum and Mop Combo Review","reply","5rTG5f_yogU","0"
"@JessieBelleOfficial","false","UgyOQnfIuuziC62STk54AaABAg","What Does it Come With? Any Accessories?","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","2",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","30"
"@corkymitzner2786","false","UgxndrcNGou7bZ4PnmV4AaABAg","Eufy has a reputation for overpromising on their capabilities, so it is nice to see Watson who has a very good reputation.  :)","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","2",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","23"
"@gustyorzel6599","false","Ugyt8BzqcH-qaRzFXkF4AaABAg","Watson has a good voice for narration and stufff.   He seems relaxed when he talks","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","2",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","30"
"@haganenriques1070","false","UgxgsLroQDgiL_1_aQx4AaABAg","Thank you, Watson. This robot vacuum is a great option for me!","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","2",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","30"
"@KanikaChandra784","false","Ugzkg3ACAZNLk8BoE6h4AaABAg","The mop heads seems to click in early.  That's a cool feature","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","2",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","22"
"@JanieDaniels16","false","UgwrprlU6PAoMonhehx4AaABAg","This is an amazing robot vacuum and mop. It has strong suction and an auto-lift mop that keeps carpets dry. The smart navigation avoids obstacles and cleans every corner well. I love the self-emptying and auto mop cleaning—no maintenance needed! Setup was easy, and the app makes scheduling simple. It works with my phone and smartwatch for quick control. My floors stay spotless with zero effort. It’s quiet, efficient, and saves me so much time. If you want a powerful, hands-free cleaner, this is a great choice. Highly recommend!","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","4"
"@DeliaHurley463","false","Ugzgnd16HlywL7x_3694AaABAg","Is very easy to set up and you honestly don’t even need the directions and the box to tell you how to do it. You can do it without it. This vacuum can go under your couches easily and I love that cause now I don’t have to go under my couches to sweep and everything so that’s perfect.","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","3"
"@randicanant4366","false","Ugz29fnOV-SGUoy1ZGJ4AaABAg","This robot vacuum performs impressively beyond my expectations. Setting up the docking station and the vacuum is easy. The mapping system efficiently navigates rooms without missing spots.","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","2"
"@BrainStoles","false","Ugw9jMr0iJ9Z4kAYW9B4AaABAg","Your reviews feel more trustworthy than those from Unbox Therapy and MrBeast. You do a great job, just like Consumer Reports!","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","2"
"@claybornlarger6336","false","UgxR9xlaJShw8qgt4Nd4AaABAg","Since I am an Amazon customer as well, I provide as much detail as possible for other customers in order to help make an informed decision on the products. I do not recommend products I myself wouldn't use.","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","0"
"@alisontyler8919","false","Ugz15gKNsQUyik4Wohx4AaABAg","This vacuum and mop combo is a high-tech cleaning powerhouse that has significantly simplified my household chores. After using it for several weeks, here’s my detailed take on its performance, features, and a few areas where it could improve:

What I Love:
Powerful Suction and Efficient Cleaning: With 7000 Pa suction, this robot vacuum handles dirt, dust, and pet hair with ease. It’s particularly impressive on carpets and hard floors, leaving them spotless after each run. The smart dirt detection feature ensures that heavily soiled areas get extra attention, which is a huge plus.

All-in-One Dock with Auto Mop Washing & Drying: The dock is a game-changer. It automatically washes and dries the mop after each use, eliminating the hassle of manual cleaning.","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","2"
"@911Reviews","false","UgyYvty5u07gpehk6Rd4AaABAg","Great work Watson!","54","false","https://www.youtube.com/watch?v=cC7bWwgA400","5 days ago","0",,"eufy Robot Vacuum Omni C20","comment","cC7bWwgA400","4"
